SEC_companyname,CIK
CODEXIS INC,1200375
"COLD GENESYS, INC.",1618677
COMENTIS INC,1412391
COMPLETE GENOMICS INC,1361103
COMPLEXA INC.,1551369
CONATUS PHARMACEUTICALS INC,1383701
CONCERT PHARMACEUTICALS INC,1367920
CONCURRENT PHARMACEUTICALS INC,1157602
CONFORMA THERAPEUTICS CORP,1132653
"CONKWEST, INC.",1326110
CONSTELLATION PHARMACEUTICALS INC,1434418
"CORTEXYME, INC.",1662774
"CORVIDIA THERAPEUTICS, INC.",1739146
"CORVUS PHARMACEUTICALS, INC.",1626971
CROVELA BIOPHARM INC,1362885
CUBIST PHARMACEUTICALS INC,912183
"CULLINAN ONCOLOGY, INC.",1789972
"CYCLOPORTERS, INC.",1689375
"CYDAN II, INC.",1719089
"CYDAN, LLC",1573851
"CYDEX PHARMACEUTICALS, INC.",1036279
CYLENE PHARMACEUTICALS INC,1142536
CYNVENIO BIOSYSTEMS INC,1445789
"CYTEIR THERAPEUTICS, INC.",1662244
CYTHERA INC,1177960
CYTOKINETICS INC,1061983
CYTOMED THERAPEUTICS PTE. LTD.,1873093
"CYTOMX THERAPEUTICS HOLDINGS, LLC",1465584
CYTOMX THERAPEUTICS LLC,1452962
"CYTOMX THERAPEUTICS, INC.",1501989
"DARE BIOSCIENCE, INC.",1701808
"DECIBEL THERAPEUTICS, INC.",1656536
DECIMMUNE THERAPEUTICS INC,1376644
"DECIPHER BIOSCIENCES, INC.",1668069
"DELTAGEN BIOSERVICES, INC.",1538610
DELTAGEN INC,1034072
DENNY HILL/PRESAGE BIOSCIENCES LLC,1536532
"DERMIRA, INC.",1557883
"DESIGN THERAPEUTICS, INC.",1807120
DIADEXUS INC,1114348
"DIADEXUS, INC.",1036968
DICERNA PHARMACEUTICALS INC,1399529
"DIMENSION THERAPEUTICS, INC.",1592288
DISCOVERY PARTNERS INTERNATIONAL INC,1113148
"DTX PHARMA, INC.",1715954
DYAX CORP,907562
"EBI LIFE SCIENCES, INC.",1544177
"EFFECTOR THERAPEUTICS, INC.",1828522
"ELICIO THERAPEUTICS, INC.",1555192
"ELOXX PHARMACEUTICALS, INC.",1035354
ELUSYS THERAPEUTICS INC,1136144
EMPIRICO INC.,1758846
ENANTA PHARMACEUTICALS INC,1177648
ENTASIS THERAPEUTICS HOLDINGS INC.,1724344
ENTELOS INC,1362923
ENTRA PHARMACEUTICALS INC,1413681
"ENVOY THERAPEUTICS, INC.",1472617
EPIC THERAPEUTICS INC,1131996
"EPIRUS BIOPHARMACEUTICALS, INC.",1135906
"EPIZYME, INC.",1571498
ERAGEN BIOSCIENCES INC,1097056
"ESANEX, INC.",1531658
"ESCAPE BIO, INC.",1651573
ESSENTIA BIOSYSTEMS INC,1221720
"EVELO BIOSCIENCES, INC.",1694665
EVESTRA INC,1440876
"EVOLVEIMMUNE THERAPEUTICS HOLDING COMPANY, LLC",1799828
EXCALIARD PHARMACEUTICALS INC,1421768
EXELIXIS INC,939767
"EXICURE, INC.",1698530
EXITHERA PHARMACEUTICALS LLC,1554842
"EXPANSION THERAPEUTICS, INC.",1691275
EYETECH PHARMACEUTICALS INC,1115285
FATE THERAPEUTICS INC,1434316
"FIBROGEN CHINA ANEMIA HOLDINGS, LTD.",1555069
FIBROGEN EUROPE CORP,1145451
FIBROGEN INC,921299
"FINCH THERAPEUTICS GROUP, INC.",1733257
"FINCH THERAPEUTICS, INC.",1661704
FLEXION THERAPEUTICS INC,1419600
"FLEXUS BIOSCIENCES, INC.",1637028
"FLX BIO, INC.",1673772
FOLDRX PHARMACEUTICALS INC,1274481
FORMA THERAPEUTICS HOLDINGS LLC,1538927
FORMA THERAPEUTICS INC,1430390
"FREENOME HOLDINGS, INC.",1676446
FREENOME LTD,1655802
FULCRUM PHARMACEUTICALS INC,1211346
"FULCRUM THERAPEUTICS, INC.",1680581
FUNDAMENTAL APPLIED BIOLOGY INC,1382101
GALERA THERAPEUTICS LLC,1492474
"GALERA THERAPEUTICS, INC.",1563577
GALILEO PHARMACEUTICALS INC,1054161
GANGAGEN INC,1235191
GANGAGEN LIFE SCIENCES INC,1296596
"GELESIS HOLDINGS, INC.",1805087
GELESIS INC,1385374
GEMPHIRE THERAPEUTICS INC.,1638287
"GENECENTRIC DIAGNOSTICS, INC.",1529224
GENELUX CORP,1231457
